# buildings_simplified.csv -- one row per building, frame: SUMO local (m)
# name, cx, cy, sx, sy, sz, yaw_deg
bld_B352631869801063C0,     462.30,     516.88,   29.54,   28.09,  61.92,   -14.97
bld_B352701873301063C0,     471.39,     551.52,   29.80,   28.17,  62.75,   -14.95
bld_B352791876701063C0,     480.43,     585.83,   29.69,   26.83,  61.90,   -14.89
bld_B352821860601063C0,     486.81,     427.71,   15.70,    4.75,  21.31,   -14.01
bld_B352831861001063C0,     487.99,     432.32,   15.69,    4.78,  21.31,   -14.04
bld_B352871862202063C0,     491.36,     442.85,   19.02,   15.75,  19.30,    75.59
bld_B352881862101063C0,     493.86,     441.10,   17.05,    9.64,  61.17,    77.11
bld_B352931864201063C0,     500.38,     464.27,   19.55,   10.35,  61.07,    75.20
bld_B352941861601063C0,     495.32,     433.29,   15.75,    7.57,   6.90,    75.62
bld_B352951864102063C0,     499.07,     464.57,   27.36,   16.76,  14.68,    75.49
bld_B352951865901063C0,     502.12,     480.26,   17.94,    5.48,  20.90,   -14.56
bld_B352961866401063C0,     503.40,     484.95,   18.14,    4.32,  20.91,   -14.78
bld_B352981866801063C0,     504.58,     489.48,   18.20,    5.16,  20.92,   -15.11
bld_B352991867201063C0,     505.77,     494.00,   18.18,    4.32,  20.92,   -14.89
bld_B353001867701063C0,     507.06,     498.98,   18.12,    5.97,  21.46,   -14.90
bld_B353021860801063C0,     508.57,     428.43,   19.59,   12.29,  60.89,    74.87
bld_B353071862602063C0,     516.07,     447.28,   71.12,   21.26,  16.66,    75.69
bld_B353081870002063C0,     513.97,     522.50,   45.94,   16.52,  11.68,    75.26
bld_B353101870501063C0,     515.40,     524.41,   34.37,   14.69,  78.86,    75.60
bld_B353121864401063C0,     517.74,     465.18,   19.33,   13.82,  60.90,    75.24
bld_B353131873501063C0,     524.33,     555.43,   22.32,   14.03,  61.90,    68.75
bld_B353171873402063C0,     522.94,     555.56,   22.80,   16.28,  18.31,    74.80
bld_B353191867002063C0,     524.86,     492.39,   20.93,   18.23,  20.66,    75.45
bld_B353201866801063C0,     522.83,     491.52,   15.37,   10.45,  60.54,    75.45
bld_B353211875301063C0,     530.10,     574.84,   18.44,   12.27,  72.85,    75.24
bld_B353211875402063C0,     528.20,     576.12,   19.94,   16.70,  60.39,    75.22
bld_B353231868001063C0,     527.80,     502.54,   15.06,    6.38,  21.83,   -15.13
bld_B353261860602063C0,     536.08,     431.54,   18.56,   12.93,  18.54,    75.09
bld_B353261869701063C0,     532.00,     520.24,   22.29,   12.41,  62.10,    74.42
bld_B353261869902063C0,     532.63,     520.91,   34.25,   15.05,  13.35,    75.30
bld_B353311860901063C0,     537.86,     431.48,   17.41,    9.44,  59.70,    75.26
bld_B353311881001063C0,     539.92,     632.88,    4.79,    2.78,   7.07,   -12.73
bld_B353321862502063C0,     542.27,     451.19,   22.88,   14.52,  10.32,    74.84
bld_B353331872801063C0,     539.71,     546.26,   18.56,   12.55,  60.95,    74.14
bld_B353331872902063C0,     540.41,     549.46,   25.09,   15.89,   9.74,    75.23
bld_B353341882301063C0,     542.96,     644.62,    5.60,    4.66,   7.97,    75.42
bld_B353361862901063C0,     542.52,     450.99,   17.81,   11.75,  61.73,    74.74
bld_B353381874901063C0,     546.30,     572.53,   14.94,    9.00,  61.56,   -14.51
bld_B353381875002063C0,     546.12,     571.03,   19.58,   15.89,  10.61,    75.15
bld_B353401865501063C0,     548.63,     475.25,   18.21,   14.38,  77.38,    75.61
bld_B353431865402063C0,     548.72,     475.28,   18.45,   14.42,   8.93,    75.00
bld_B353441858402063C0,     553.62,     421.19,   47.63,   16.76,  19.92,    75.34
bld_B353451859001063C0,     552.80,     422.10,   31.78,   14.68,  78.89,    75.35
bld_B353461886201063C0,     555.84,     681.81,   70.21,   15.00,  29.75,    75.38
bld_B353481867602063C0,     554.95,     498.31,   29.78,   14.58,  10.12,    75.27
bld_B353481909101063C0,     563.19,     908.32,   32.01,   31.89,  92.20,   -78.71
bld_B353491915701063C0,     564.86,     970.37,   52.91,   37.74,  37.03,     8.65
bld_B353501867501063C0,     553.93,     497.42,   17.29,   12.03,  61.10,    75.14
bld_B353541863401063C0,     562.97,     454.97,   16.42,   12.06,  87.85,    75.56
bld_B353551870801063C0,     561.86,     527.82,   16.39,   12.29,  73.93,    75.64
bld_B353561904701063C0,     569.36,     865.39,   32.04,   31.98,  91.47,   -78.95
bld_B353571871202063C0,     564.04,     532.68,   27.19,   13.99,  15.34,    74.97
bld_B353591912501063C0,     574.13,     946.97,   20.38,   13.28,  34.70,     8.54
bld_B353611864202063C0,     562.49,     455.04,   22.61,   16.34,  17.48,    75.53
bld_B353611873002063C0,     568.82,     550.29,   13.98,    9.43,  12.58,   -15.07
bld_B353621865901063C0,     567.70,     479.18,   26.87,   14.75,  61.64,    75.32
bld_B353621865902063C0,     568.66,     479.04,   27.14,   16.74,  15.24,    75.22
bld_B353621873001063C0,     568.77,     550.28,   13.88,    9.38,  70.24,   -15.00
bld_B353621900601063C0,     576.26,     823.57,   32.14,   32.04,  91.47,   -84.16
bld_B353641874201063C0,     571.29,     561.91,   14.51,    9.87,  63.83,    75.17
bld_B353641874302063C0,     572.59,     564.39,   19.89,   13.97,  11.60,    75.12
bld_B353661867701063C0,     571.89,     496.85,   13.14,    9.37,  58.60,   -15.11
bld_B353661867702063C0,     573.52,     496.53,   16.46,    9.18,  19.13,   -14.95
bld_B353681868501063C0,     573.82,     505.78,   12.60,    9.03,  52.30,   -14.98
